Date,Community,Year,Month,Day,Hour,Minute,Age,Sex,Race,Latitude,Longitude,Location,ZIP_CODE
2009-07-24 20:34:00,Austin,2009,7,24,20,34,20-29,F,BLK,41.88858165414193,-87.75595534612034,POINT (-87.75595534612 41.888581654142),60644.0
2009-07-26 04:46:00,Austin,2009,7,26,4,46,20-29,M,BLK,41.89402165414193,-87.74607534612034,POINT (-87.74607534612 41.894021654142),60644.0
2009-07-27 03:30:00,North Lawndale,2009,7,27,3,30,20-29,F,BLK,41.86784966894668,-87.71852854747083,POINT (-87.718528547471 41.867849668947),60624.0
2009-08-01 23:40:00,Englewood,2009,8,1,23,40,0-19,M,BLK,41.78326165414193,-87.64827534612034,POINT (-87.64827534612 41.783261654142),60621.0
2009-08-04 18:38:00,Humboldt Park,2009,8,4,18,38,50-59,M,BLK,41.8941605,-87.7198,POINT (-87.7198 41.8941605),60624.0
2009-08-05 03:00:00,North Lawndale,2009,8,5,3,0,20-29,M,BLK,41.85852165414193,-87.71455534612033,POINT (-87.71455534612 41.858521654142),60623.0
2009-08-06 14:48:00,Austin,2009,8,6,14,48,0-19,M,BLK,41.88175690414193,-87.75625905869923,POINT (-87.756259058699 41.881756904142),60644.0
2009-08-08 22:17:00,South Shore,2009,8,8,22,17,0-19,M,BLK,41.76922309585807,-87.58399094130077,POINT (-87.583990941301 41.769223095858),60649.0
2009-08-11 22:42:00,West Englewood,2009,8,11,22,42,30-39,M,BLK,41.76743966894669,-87.66751854747082,POINT (-87.667518547471 41.767439668947),60636.0
2009-08-12 02:05:00,Humboldt Park,2009,8,12,2,5,0-19,M,WWH,41.90963966894668,-87.70904854747083,POINT (-87.709048547471 41.909639668947),60651.0
2009-08-12 03:00:00,West Englewood,2009,8,12,3,0,30-39,M,BLK,41.78382309585807,-87.65610094130076,POINT (-87.656100941301 41.783823095858),60636.0
2009-08-13 03:25:00,South Shore,2009,8,13,3,25,20-29,M,BLK,41.76543690414193,-87.58232094130076,POINT (-87.582320941301 41.765436904142),60649.0
2009-08-13 04:20:00,South Shore,2009,8,13,4,20,20-29,M,BLK,41.76581690414193,-87.58019905869924,POINT (-87.580199058699 41.765816904142),60649.0
2009-08-18 01:00:00,Austin,2009,8,18,1,0,50-59,F,BLK,41.88863165414193,-87.75593465387966,POINT (-87.75593465388 41.888631654142),60644.0
2009-08-23 00:35:00,Humboldt Park,2009,8,23,0,35,0-19,M,BLK,41.90160165414193,-87.72563534612034,POINT (-87.72563534612 41.901601654142),60651.0
2009-08-26 21:30:00,Englewood,2009,8,26,21,30,20-29,M,BLK,41.76226690414193,-87.65000094130077,POINT (-87.650000941301 41.762266904142),60621.0
2009-08-27 15:36:00,South Shore,2009,8,27,15,36,20-29,M,BLK,41.75965834585807,-87.58408534612035,POINT (-87.58408534612 41.759658345858),60649.0
2009-08-30 16:29:00,South Shore,2009,8,30,16,29,20-29,M,BLK,41.76617834585807,-87.57321465387966,POINT (-87.57321465388 41.766178345858),60649.0
2009-08-30 16:29:00,South Shore,2009,8,30,16,29,30-39,M,BLK,41.76617834585807,-87.57321465387966,POINT (-87.57321465388 41.766178345858),60649.0
2009-08-31 21:34:00,South Shore,2009,8,31,21,34,20-29,M,BLK,41.75256834585807,-87.58059465387966,POINT (-87.58059465388 41.752568345858),60649.0
2009-08-31 23:03:00,Humboldt Park,2009,8,31,23,3,30-39,M,WBH,41.89204165414193,-87.71959465387965,POINT (-87.71959465388 41.892041654142),60624.0
2009-09-06 18:02:00,South Shore,2009,9,6,18,2,20-29,M,BLK,41.76179309585807,-87.58608094130076,POINT (-87.586080941301 41.761793095858),60619.0
2009-09-09 19:31:00,West Englewood,2009,9,9,19,31,20-29,M,BLK,41.77340165414193,-87.67468465387967,POINT (-87.67468465388 41.773401654142),60636.0
2009-09-22 21:10:00,North Lawndale,2009,9,22,21,10,70-79,M,BLK,41.85051165414193,-87.73093465387966,POINT (-87.73093465388 41.850511654142),60623.0
2009-09-22 21:10:00,North Lawndale,2009,9,22,21,10,70-79,F,BLK,41.85051165414193,-87.73093465387966,POINT (-87.73093465388 41.850511654142),60623.0
2009-09-25 21:31:00,Austin,2009,9,25,21,31,20-29,M,BLK,41.89281690414193,-87.74533094130076,POINT (-87.745330941301 41.892816904142),60644.0
2009-09-28 19:27:00,Austin,2009,9,28,19,27,20-29,M,BLK,41.88904309585807,-87.74934905869924,POINT (-87.749349058699 41.889043095858),60644.0
2009-09-28 20:34:00,North Lawndale,2009,9,28,20,34,30-39,M,BLK,41.86686966894668,-87.72441854747082,POINT (-87.724418547471 41.866869668947),60624.0
2009-10-08 19:35:00,Austin,2009,10,8,19,35,20-29,M,BLK,41.88324165414193,-87.75086534612034,POINT (-87.75086534612 41.883241654142),60644.0
2009-10-09 20:38:00,Humboldt Park,2009,10,9,20,38,20-29,M,BLK,41.89480834585807,-87.72425465387965,POINT (-87.72425465388 41.894808345858),60624.0
2009-10-17 03:05:00,West Englewood,2009,10,17,3,5,40-49,M,BLK,41.79072690414193,-87.66409094130077,POINT (-87.664090941301 41.790726904142),60636.0
2009-10-25 22:16:00,Austin,2009,10,25,22,16,20-29,M,BLK,41.89709690414193,-87.77293905869924,POINT (-87.772939058699 41.897096904142),60651.0
