"community_area","year","weapons_incidents","weapons_arrests"
"38","2019","74","30"
"38","2020","114","50"
"38","2021","139","56"
"38","2022","159","93"
"38","2023","152","91"
"39","2009","22","16"
"39","2010","16","13"
"39","2011","17","15"
"39","2012","16","11"
"39","2013","13","12"
"39","2014","12","11"
"39","2015","16","14"
"39","2016","7","5"
"39","2017","11","7"
"39","2018","8","3"
"39","2019","19","13"
"39","2020","17","4"
"39","2021","31","10"
"39","2022","32","16"
"39","2023","38","16"
"40","2009","63","53"
"40","2010","53","45"
"40","2011","75","64"
"40","2012","65","60"
"40","2013","44","40"
"40","2014","33","27"
"40","2015","44","34"
"40","2016","41","32"
"40","2017","55","39"
"40","2018","65","45"
"40","2019","76","33"
"40","2020","81","38"
"40","2021","103","49"
"40","2022","119","70"
"40","2023","143","84"
"41","2009","6","4"
"41","2010","7","5"
"41","2011","4","4"
"41","2012","5","5"
"41","2013","5","5"
"41","2014","4","3"
"41","2015","3","2"
"41","2016","5","4"
"41","2017","5","3"
"41","2018","6","4"
"41","2019","14","9"
"41","2020","17","12"
"41","2021","19","8"
"41","2022","11","7"
"41","2023","22","12"
"42","2009","117","102"
"42","2010","101","82"
"42","2011","116","94"
"42","2012","101","79"
"42","2013","78","61"
"42","2014","67","60"
"42","2015","84","63"
"42","2016","49","42"
"42","2017","76","68"
"42","2018","81","54"
"42","2019","107","75"
"42","2020","153","92"
"42","2021","166","79"
"42","2022","184","101"
"42","2023","203","115"
"43","2009","151","138"
"43","2010","145","123"
"43","2011","135","101"
"43","2012","144","127"
"43","2013","136","102"
"43","2014","125","110"
"43","2015","108","85"
"43","2016","111","89"
"43","2017","174","151"
"43","2018","178","152"
"43","2019","218","157"
"43","2020","297","164"
"43","2021","335","140"
"43","2022","343","162"
"43","2023","337","170"
"44","2009","82","74"
"44","2010","73","59"
"44","2011","87","76"
"44","2012","117","101"
"44","2013","91","86"
"44","2014","102","96"
"44","2015","104","90"
"44","2016","65","49"
"44","2017","111","94"
"44","2018","170","126"
"44","2019","208","148"
"44","2020","269","203"
"44","2021","249","171"
"44","2022","241","149"
"44","2023","286","174"
"45","2009","27","21"
"45","2010","25","21"
"45","2011","20","18"
"45","2012","24","20"
"45","2013","31","28"
"45","2014","20","20"
"45","2015","30","23"
"45","2016","33","25"
"45","2017","25","17"
"45","2018","40","21"
"45","2019","62","48"
"45","2020","71","47"
"45","2021","90","46"
"45","2022","56","35"
"45","2023","50","18"
"46","2009","123","108"
"46","2010","91","83"
"46","2011","136","98"
"46","2012","130","109"
"46","2013","84","67"
"46","2014","112","89"
"46","2015","99","86"
"46","2016","80","60"
"46","2017","112","83"
"46","2018","129","92"
"46","2019","199","136"
"46","2020","167","91"
"46","2021","160","75"
"46","2022","199","93"
"46","2023","194","58"
"47","2009","5","4"
"47","2010","4","4"
"47","2011","4","4"
"47","2012","10","8"
"47","2013","6","5"
"47","2014","5","5"
"47","2015","10","7"
"47","2016","6","4"
"47","2017","26","19"
"47","2018","24","17"
"47","2019","21","14"
"47","2020","20","7"
"47","2021","17","7"
"47","2022","20","8"
"47","2023","27","6"
"48","2009","23","20"
"48","2010","23","22"
"48","2011","30","25"
"48","2012","35","27"
"48","2013","26","22"
"48","2014","22","20"
"48","2015","20","18"
"48","2016","11","6"
"48","2017","23","17"
"48","2018","47","27"
"48","2019","55","39"
"48","2020","55","28"
"48","2021","102","44"
"48","2022","60","28"
"48","2023","72","29"
"49","2009","199","167"
"49","2010","162","128"
"49","2011","172","122"
"49","2012","183","160"
"49","2013","128","117"
"49","2014","160","142"
"49","2015","157","135"
"49","2016","140","107"
"49","2017","187","165"
"49","2018","229","132"
"49","2019","269","157"
"49","2020","337","191"
"49","2021","412","264"
"49","2022","388","258"
"49","2023","353","190"
"50","2009","18","15"
"50","2010","12","11"
"50","2011","13","12"
"50","2012","24","18"
"50","2013","21","20"
"50","2014","19","17"
"50","2015","15","13"
"50","2016","13","9"
"50","2017","36","30"
"50","2018","29","23"
"50","2019","36","24"
"50","2020","48","26"
"50","2021","59","40"
"50","2022","42","33"
"50","2023","46","25"
"51","2009","35","30"
"51","2010","20","20"
"51","2011","44","33"
"51","2012","45","36"
"51","2013","26","23"
"51","2014","46","36"
"51","2015","32","28"
"51","2016","27","19"
"51","2017","52","35"
"51","2018","46","27"
"51","2019","57","35"
"51","2020","77","42"
"51","2021","61","32"
"51","2022","92","37"
"51","2023","93","37"
"52","2009","25","20"
"52","2010","16","13"
"52","2011","27","20"
"52","2012","14","9"
"52","2013","21","18"
"52","2014","15","14"
"52","2015","24","22"
"52","2016","21","12"
"52","2017","34","23"
"52","2018","34","26"
"52","2019","44","27"
"52","2020","59","24"
"52","2021","49","20"
"52","2022","46","15"
"52","2023","74","33"
"53","2009","110","89"
"53","2010","100","86"
"53","2011","141","97"
"53","2012","137","120"
"53","2013","124","115"
"53","2014","115","101"
"53","2015","119","101"
"53","2016","117","102"
"53","2017","136","122"
"53","2018","186","93"
"53","2019","208","114"
"53","2020","245","137"
"53","2021","310","184"
"53","2022","252","171"
"53","2023","248","121"
"54","2009","23","20"
"54","2010","27","26"
"54","2011","26","17"
"54","2012","27","21"
"54","2013","16","16"
"54","2014","40","40"
"54","2015","29","24"
"54","2016","39","25"
"54","2017","43","39"
"54","2018","62","47"
"54","2019","81","61"
"54","2020","74","34"
"54","2021","73","41"
"54","2022","78","40"
"54","2023","60","30"
"55","2009","9","9"
"55","2010","8","6"
"55","2011","8","5"
"55","2012","9","7"
"55","2013","6","4"
"55","2014","7","6"
"55","2015","2","1"
"55","2016","4","2"
"55","2017","9","6"
"55","2018","20","14"
"55","2019","9","6"
"55","2020","8","2"
"55","2021","11","3"
"55","2022","7","1"
"55","2023","21","10"
"56","2009","21","15"
"56","2010","14","13"
"56","2011","7","6"
"56","2012","13","9"
"56","2013","10","9"
"56","2014","10","9"
"56","2015","16","14"
"56","2016","5","4"
"56","2017","15","10"
"56","2018","19","12"
"56","2019","28","11"
"56","2020","31","12"
"56","2021","30","8"
"56","2022","49","10"
"56","2023","62","15"
"57","2009","16","13"
"57","2010","7","3"
"57","2011","12","10"
"57","2012","6","6"
"57","2013","12","10"
"57","2014","11","11"
"57","2015","11","9"
"57","2016","13","11"
"57","2017","5","4"
"57","2018","8","4"
"57","2019","19","8"
"57","2020","21","4"
"57","2021","32","9"
"57","2022","45","11"
"57","2023","51","20"
"58","2009","61","43"
"58","2010","29","19"
"58","2011","46","45"
"58","2012","37","30"
"58","2013","20","17"
"58","2014","34","29"
"58","2015","40","30"
"58","2016","39","30"
"58","2017","39","28"
"58","2018","58","40"
"58","2019","94","59"
"58","2020","101","55"
"58","2021","79","38"
"58","2022","74","27"
"58","2023","84","26"
"59","2009","27","20"
"59","2010","7","5"
"59","2011","17","15"
"59","2012","17","13"
"59","2013","7","6"
"59","2014","2","1"
"59","2015","10","9"
"59","2016","9","6"
"59","2017","17","11"
"59","2018","16","10"
"59","2019","27","10"
"59","2020","43","21"
"59","2021","35","19"
"59","2022","42","19"
"59","2023","26","11"
"60","2009","18","16"
"60","2010","16","10"
"60","2011","8","5"
"60","2012","22","20"
"60","2013","4","3"
"60","2014","8","4"
"60","2015","8","5"
"60","2016","16","14"
"60","2017","16","8"
"60","2018","21","12"
"60","2019","29","7"
"60","2020","49","24"
"60","2021","41","24"
"60","2022","60","22"
"60","2023","32","16"
"61","2009","161","140"
"61","2010","158","111"
"61","2011","133","118"
"61","2012","165","128"
"61","2013","111","84"
"61","2014","86","71"
"61","2015","107","81"
"61","2016","109","77"
"61","2017","140","95"
"61","2018","124","73"
"61","2019","162","74"
"61","2020","222","143"
"61","2021","226","120"
"61","2022","295","149"
"61","2023","285","123"
"62","2009","11","10"
"62","2010","9","6"
"62","2011","10","6"
"62","2012","8","6"
"62","2013","7","4"
"62","2014","7","7"
"62","2015","9","7"
"62","2016","11","11"
"62","2017","7","7"
"62","2018","18","12"
"62","2019","21","12"
"62","2020","30","13"
"62","2021","34","15"
"62","2022","37","17"
"62","2023","44","20"
"63","2009","51","47"
"63","2010","68","43"
"63","2011","61","53"
"63","2012","42","33"
"63","2013","31","24"
"63","2014","28","24"
"63","2015","30","25"
"63","2016","31","22"
"63","2017","38","31"
"63","2018","62","39"
"63","2019","104","56"
"63","2020","115","69"
"63","2021","99","56"
"63","2022","81","50"
"63","2023","127","52"
"64","2009","8","7"
"64","2010","6","5"
"64","2011","8","7"
"64","2012","6","5"
"64","2013","4","4"
"64","2014","3","2"
"64","2015","6","3"
"64","2016","4","4"
"64","2017","4","3"
"64","2018","3","2"
"64","2019","20","11"
"64","2020","19","8"
"64","2021","19","2"
"64","2022","15","6"
"64","2023","28","1"
"65","2009","19","18"
"65","2010","12","9"
"65","2011","9","8"
"65","2012","9","7"
"65","2013","18","16"
"65","2014","10","7"
"65","2015","6","5"
"65","2016","9","7"
"65","2017","17","15"
"65","2018","23","15"
"65","2019","33","10"
"65","2020","36","8"
"65","2021","34","15"
"65","2022","57","30"
"65","2023","67","25"
"66","2009","151","138"
"66","2010","152","119"
"66","2011","152","138"
"66","2012","167","154"
"66","2013","105","88"
"66","2014","113","91"
"66","2015","101","81"
"66","2016","91","65"
"66","2017","129","110"
"66","2018","114","82"
"66","2019","150","83"
"66","2020","262","129"
"66","2021","242","136"
"66","2022","262","151"
"66","2023","214","115"
"67","2009","227","199"
"67","2010","191","146"
"67","2011","264","231"
"67","2012","225","188"
"67","2013","173","143"
"67","2014","206","166"
"67","2015","188","153"
"67","2016","204","152"
"67","2017","263","191"
"67","2018","325","259"
"67","2019","320","250"
"67","2020","455","351"
"67","2021","403","248"
"67","2022","352","192"
"67","2023","337","220"
"68","2009","174","151"
"68","2010","170","125"
"68","2011","157","140"
"68","2012","196","167"
"68","2013","153","133"
"68","2014","156","133"
"68","2015","172","144"
"68","2016","153","116"
"68","2017","257","213"
"68","2018","286","221"
"68","2019","300","243"
"68","2020","429","332"
"68","2021","391","276"
"68","2022","332","217"
"68","2023","302","212"
"69","2009","154","134"
"69","2010","119","101"
"69","2011","161","138"
"69","2012","172","143"
"69","2013","120","100"
"69","2014","117","102"
"69","2015","129","103"
"69","2016","101","78"
"69","2017","161","139"
"69","2018","234","199"
"69","2019","255","197"
"69","2020","428","284"
"69","2021","378","221"
"69","2022","359","194"
"69","2023","374","231"
"70","2009","39","33"
"70","2010","35","27"
"70","2011","27","20"
"70","2012","31","25"
"70","2013","28","21"
"70","2014","15","13"
"70","2015","18","14"
"70","2016","12","9"
"70","2017","28","23"
"70","2018","32","16"
"70","2019","47","13"
"70","2020","74","18"
"70","2021","58","27"
"70","2022","52","22"
"70","2023","95","30"
"71","2009","197","173"
"71","2010","170","141"
"71","2011","170","137"
"71","2012","173","152"
"71","2013","151","133"
"71","2014","142","124"
"71","2015","163","137"
"71","2016","133","114"
"71","2017","260","224"
"71","2018","315","225"
"71","2019","317","235"
"71","2020","376","261"
"71","2021","392","292"
"71","2022","311","194"
"71","2023","303","181"
"72","2009","4","3"
"72","2010","4","3"
"72","2011","5","2"
"72","2012","5","5"
"72","2013","2","2"
"72","2014","3","3"
"72","2015","2","1"
"72","2016","7","6"
"72","2017","1","1"
"72","2018","2","2"
